CustomerID,FirstName,LastName,Email,City,ZipCode,PhoneNumber,FavCountry,CreateDate
0,Linda,Matin,LindaMatin615@msn.com,Los Angeles,68016,2065577867,Romania,2020-04-23
1,Elmer,Stjohn,Elmer-Stjohn740@aol.com,Bend,86051,4585419862,Liberia,2020-08-21
2,Roberto,Cordero,Roberto_Cordero935@aol.com,Medford,55098,2097116267,"Congo, The Democratic Republic of the",2020-04-23
3,Harry,Hayward,Harry-Hayward322@hotmail.com,Olympia,66396,2067812937,Oman,2018-04-22
4,James,Cooper,James-Cooper869@comcast.net,Salem,78074,2093322873,Canada,2017-11-11
5,Pamela,Bramer,Pamela_Bramer436@yahoo.com,Portland,72636,7148770144,French Polynesia,2018-08-16
6,Sylvia,Lumley,Sylvia-Lumley314@aol.com,Los Angeles,70779,5419719685,Canada,2019-06-09
7,James,Ramey,James-Ramey781@yahoo.com,Eugene,86498,3605988533,Bhutan,2019-06-20
8,Rosa,Overman,Rosa-Overman232@hotmail.com,Bellevue,37952,5093452620,Maldives,2019-04-28
9,Gerald,Ballew,Gerald_Ballew712@comcast.net,San Jose,77409,5109964828,Sierra Leone,2017-08-21
10,Lise,Holman,Lise-Holman14@aol.com,Oregon City,83716,4258179456,Georgia,2018-01-03
11,Michael,Riley,MichaelkRiley979@comcast.net,San Jose,92741,7077017509,Somalia,2019-10-06
12,Lori,Gill,Lori-Gill852@comcast.net,Oregon City,50535,5095780443,China,2019-02-23
13,Mabel,Perry,MabelPerry675@yahoo.com,Bellingham,84106,5414809217,Central African Republic,2017-07-15
14,Greg,Johnson,Greg-Johnson571@hotmail.com,Los Angeles,61959,2539633800,Guinea,2019-04-14
15,Mary,Wright,MaryWright964@yahoo.com,Eugene,47296,2134498897,Cuba,2017-02-01
16,Clifton,Scott,Clifton_Scott669@aol.com,Eugene,61642,2096755666,Austria,2017-12-26
17,Josefine,Mathews,Josefine-Mathews812@yahoo.com,Bellingham,38477,2065294829,"Iran, Islamic Republic of",2018-10-28
18,Kimberly,Reyna,KimberlySReyna284@gmail.com,San Diego,79122,4585520275,Mongolia,2018-01-14
19,Ann,Child,Ann-Child12@gmail.com,Seattle,82094,7073911159,Ukraine,2017-03-19
20,Gary,Brough,Gary-Brough354@msn.com,Bellingham,51040,5101319879,Tonga,2018-10-11
21,Brandy,Iorio,Brandy_Iorio34@gmail.com,Salem,71436,7143692789,Cocos (Keeling) Islands,2020-08-29
22,Joyce,Carlyle,JoyceCarlyle466@comcast.net,Bend,78679,5104469485,Switzerland,2020-08-04
23,Frances,Yu,FranceslYu578@yahoo.com,Oregon City,39719,5104363418,Australia,2019-07-27
24,Hilda,Naegeli,Hilda_Naegeli140@yahoo.com,Spokane,64604,2534924147,Cambodia,2018-12-26
25,Norma,Huerta,Norma-Huerta611@msn.com,Eugene,70808,2094585737,Greenland,2017-05-22
26,Mellisa,Fischer,MellisaRFischer206@gmail.com,Los Angeles,64421,4253301279,Austria,2020-06-22
27,George,Lagasse,George-Lagasse930@aol.com,Bellingham,40744,5413865891,Indonesia,2018-10-21
28,Victor,Lockhart,VictorLockhart171@hotmail.com,Sacramento,33066,4253105796,Bouvet Island,2017-02-10
29,Mark,Ward,MarktWard616@yahoo.com,Sacramento,73646,2067260077,French Southern Territories,2019-08-02
30,Cathy,Woods,CathyWoods218@gmail.com,Portland,62489,7147894444,Bangladesh,2018-10-20
31,Matthew,Cain,Matthew_Cain64@yahoo.com,Eugene,46045,3605572675,Nigeria,2020-08-27
32,Yolanda,Harrison,YolandaBHarrison329@comcast.net,San Diego,71112,2132481811,Lao People's Democratic Republic,2018-03-26
33,Belinda,Dawkins,Belinda_Dawkins163@aol.com,Portland,56555,5415571588,Algeria,2017-05-17
34,Sharee,Mcdaniel,Sharee-Mcdaniel368@aol.com,Bellingham,46937,7148599814,Pitcairn,2018-08-30
35,Michael,Pompey,MichaelfPompey674@aol.com,Bend,86116,4585676062,"Virgin Islands, U.S.",2017-12-24
36,Lindsey,Romine,Lindsey_Romine668@comcast.net,Bellevue,45072,2067352345,Uruguay,2018-02-19
