,cstName,Email,City,Zip,PhoneNumber,Country,CreateDate,TransactionID,PurchaseDate,Name,Region,ZipCode_2,StreetAddress,ItemName,Description,Category,ItemPrice,LineItemAmount,Quantity,Amount,CCNumber,CardSecurityCode
1111,Carla Shepard,CarlaShepard419@aol.com,Bellingham,37039,7147618254,Benin,2017-02-06,87446-8256,2020-09-01,Wholesome,California,98182,4942 Ac Rd.,chips,generic chip,food,2.0,10.0,5.0,50097.44,5752628668470076,616
1150,Christopher Erickson,ChristopherErickson292@yahoo.com,Oregon City,79684,7141178894,Spain,2020-02-09,83314-6066,2020-09-02,Not Just Groceries,CA,97888,"1437 Sed, Av.",bread,single sliced,food,4.0,16.0,4.0,16.0,4424226786844503,663
178,Virgil Jackson,VirgilbJackson160@aol.com,Eugene,99030,7144079280,"Micronesia, Federated States of",2018-03-26,24172-2868,2020-01-21,Healthy Treats,WA,91222,8390 Integer St,tooth paste,,toiletries,2.3,2.3,1.0,2.3,5821407075812147,878
1072,Melissa Burgos,Melissa-Burgos386@comcast.net,Tacoma,41877,5411269040,Bahamas,2020-01-10,51267-8866,2019-07-21,West Port Goods,WA,98788,"8052 Adipiscing, Street",sandwich,premade,food,12.44,24.88,2.0,79.63,5425015551043448,411
68,Brandy Iorio,Brandy_Iorio34@gmail.com,Salem,71436,7143692789,Cocos (Keeling) Islands,2020-08-29,26499-5765,2020-07-04,Healthy Treats,WA,91222,8390 Integer St,water,24 oz,beverage,2.95,2.95,1.0,521.55,5535030351558256,482
804,Laura Wright,Laura_Wright283@msn.com,San Diego,97256,5104632690,Austria,2019-04-18,94581-4754,2020-02-14,Not Just Groceries,CA,97888,"1437 Sed, Av.",candy,variety pack,food,3.25,6.5,2.0,87.5,5740448420208773,512
1113,Carla Shepard,CarlaShepard419@aol.com,Bellingham,37039,7147618254,Benin,2017-02-06,87446-8256,2020-09-01,Wholesome,California,98182,4942 Ac Rd.,sandwich,premade,food,12.44,12.44,1.0,50097.44,5752628668470076,616
1165,Jayne Eliott,JayneEliott202@hotmail.com,Bellingham,46646,2135916711,Singapore,2017-02-12,39552-1762,2020-08-07,Not Just Groceries,CA,97888,"1437 Sed, Av.",coke,16 oz,beverage,2.95,5.9,2.0,22.55,5021041467447807,743
209,William Flores,WilliamYFlores817@msn.com,Seattle,34039,5096960490,Slovenia,2018-07-30,53481-3923,2020-01-13,The Corner Store,Washington,98000,8516 Amet St.,seeds,misc plant seeds,plants,15.0,60.0,4.0,90.75,5245633235675228,924
677,Darlene Olsen,Darlene-Olsen273@gmail.com,Olympia,31192,5032938770,Burundi,2018-10-24,61923-5378,2020-03-28,Wholesome,California,98182,4942 Ac Rd.,fern,has leaves,plants,25.0,25.0,1.0,86.5,5105608823337137,551
475,Josefine Mathews,Josefine-Mathews812@yahoo.com,Bellingham,38477,2065294829,"Iran, Islamic Republic of",2018-10-28,94564-1409,2020-05-03,Wholesome,California,98182,4942 Ac Rd.,coke,16 oz,beverage,2.95,2.95,1.0,243.9,4050781667658257,870
96,Matthew Cain,Matthew_Cain64@yahoo.com,Eugene,46045,3605572675,Nigeria,2020-08-27,37477-6986,2020-05-10,Healthy Treats,WA,91222,8390 Integer St,chips,generic chip,food,2.0,6.0,3.0,378.0,5073563782675543,801
526,Joyce Carlyle,JoyceCarlyle466@comcast.net,Bend,78679,5104469485,Switzerland,2020-08-04,24548-7432,2019-04-11,The Corner Store,Washington,98000,8516 Amet St.,coke,24 oz,beverage,4.5,22.5,5.0,60.0,5168844464604142,567
256,Erica Johnson,Erica_Johnson544@msn.com,Eugene,44149,2532631717,"Congo, The Democratic Republic of the",2019-11-04,61184-6699,2019-08-11,Not Just Groceries,CA,97888,"1437 Sed, Av.",seeds,misc plant seeds,plants,15.0,45.0,3.0,73.85,4873201360812802,601
22,Sylvia Lumley,Sylvia-Lumley314@aol.com,Los Angeles,70779,5419719685,Canada,2019-06-09,72384-7308,2019-05-07,The Corner Store,Washington,98000,8516 Amet St.,water,24 oz,beverage,2.95,8.850000000000003,3.0,14.7,5185605355022832,337
582,Victor Lockhart,VictorLockhart171@hotmail.com,Sacramento,33066,4253105796,Bouvet Island,2017-02-10,66206-8566,2020-05-11,West Port Goods,WA,98788,"8052 Adipiscing, Street",,,toiletries,10000.0,10000.0,1.0,60004.5,4041011405260632,237
1127,Ronald Rufenacht,RonaldfRufenacht446@msn.com,San Jose,88178,2537312096,Ireland,2019-12-22,60155-7742,2019-05-24,The Corner Store,Washington,98000,8516 Amet St.,coke,12 oz,beverage,1.25,2.5,2.0,17.25,4086466767265861,104
